abandon,v./n.放弃；放纵
quack,n.冒充内行之人；庸医
quaff,v.痛饮，畅饮
quail,v.畏惧，颤抖
quaint,a.离奇有趣的
qualified,a.有资格的；有限制的
qualms,n.疑虑(尤指有关良心问题的)
quandary,n.困惑，进退两难
quantum,n.量子；定量
quarantine,n.隔离检疫期，隔离
quarry,n.猎物
quartet,n.四重奏，四重唱
quash,v.镇压；取消
quaver,v.发颤音，颤抖；n.颤音
quay,n.码头
quell,v.制止，镇压
quench,v.熄灭(火)；抑制(欲望)
querulous,a.抱怨的，多牢骚的
quest,v.搜寻，探求；n.探求
queue,v.排队；n.长队
quibble,n.遁词；吹毛求疵的反对意见
quiescent,a.不动的，静止的
quill,n.(豪猪等动物的)刺
quirk,n.奇事；怪癖
quisling,n.卖国贼，内奸
quiver,n.箭筒，箭囊
quixotic,a.不切实际的，空想的
quota,n.定额，配额
quote,v.引用，引述
quotidian,a.每日的；平凡的
rabble,n.乌合之众；下等人
rabid,a.患狂犬病的；失去理性的
rabies,n.狂犬病；恐水病
raconteur,n.善于讲故事的人
racy,a.活泼的，生动的
radius,n.半径
raffish,a.粗俗的；俗艳的
raffle,n.(尤指为公益事业举办的)抽奖售物(活动)
rafter,n.椽子
rag,n.旧布，碎布；破旧衣服
rage,n.盛怒；v.激怒
ragged,a.破烂的
ragtime,n.拉格泰姆音乐；a.使人发笑的，滑稽的
raid,n.突然袭击
rail,n.栏杆；铁轨；v.咒骂，猛烈指责
raisin,n.葡萄干
rakish,a.潇洒的；放荡的
rally,v.召集，集会；n.召集；集会
ram,n.公羊；撞锤，猛击；填塞
ramble,n./v.漫步
rambunctious,a.骚乱的；(兴奋)控制不了的
ramify,v.分支，分叉
rampage,v.狂暴地乱冲；n.暴怒
rampant,a.蔓生的，猖獗的
rampart,n.壁垒；城墙
ramshackle,a.摇摇欲坠的
rancid,a.不新鲜的，变味的
rancor,n.深仇，怨恨
random,a.没有明确目的、计划或者目标的；偶然的，随便的
ranger,n.森林管理员；巡逻骑警
rankle,v.怨恨；激怒
ransom,n.赎金；赎身；v.赎回
rant,v.咆哮；口出狂言
rapacious,a.强夺的，贪婪的
rapids,n.急流，湍流
rapport,n.和睦，意见一致
rapprochement,n.和好，和睦
rapt,a.专心致志的，全神贯注的
rarefaction,n.稀薄
raspy,a.(声音)刺耳的；恼人的
ratification,n.正式批准
ratiocination,n.推理；推论
ration,n.定量配给；v.配给
rational,a.理性的；合理的
rattle,v.使格格作响；使慌乱
raucous,a.(声音)沙哑的，粗糙的
ravage,v.摧毁，使荒废
rave,n.热切赞扬；v.狂语
ravel,v.纠缠，纠结；拆开，拆散
ravenous,a.饿极了的，贪婪的
ravine,n.深谷，峡谷
ravishing,a.令人陶醉的
raze,v.彻底破坏
razor,n.剃刀，刮胡刀
reactant,n.反应物
reactionary,a.保守的，反动的
readily,adv.不迟疑地；迅速地，轻易地
ready,a.机敏的，迅速的
reagent,n.试剂(导致化学反应)
realign,v.重新组合(排列)
realm,n.王国；领域，范围
ream,n.令(纸张的计数单位)
reap,v.收割，收获
reaper,n.收割者
rebate,n.折扣，回扣
rebellious,a.反抗的，难控制的
rebuff,v.断然拒绝
rebuke,v.指责，谴责
rebus,n.(以音、画等提示的)字谜，画谜
rebuttal,n.反驳，反证
recalcitrant,a.顽抗的
recall,v.回想，回忆起；收回；n.唤回
recant,v.改变，放弃(以前的信仰)
recantation,n.改变宗教信仰
recapitulate,v.扼要重述
recast,v.重铸；更换演员
recede,v.后退，收回(诺言)
receipt,n.收到，接到；发票，收据
receptacle,n.容器
receptive,a.善于接受的；从善如流的
recess,n.壁凹(墙上装的架子、柜子等凹处)；休假
recession,n.经济萧条时期；撤回，退回
recessive,a.隐性遗传的；后退的
recipe,n.食谱
recipient,n.接受者，收受者
reciprocal,a.相互的，互惠的
reciprocate,v.回报，答谢
recital,n.独奏；吟诵
reclaim,v.纠正；开垦(土地)
recluse,n.隐士；a.隐居的
recoil,v.退却，退缩
recollection,n.记忆力；记忆中的往事
recombine,v.重组，再结合
recompense,v.报酬，赔偿
reconcile,v.和解，调和
recondite,a.深奥的
reconnaissance,n.侦察，预先探索
reconstitute,v.再组成；用水泡
recourse,n.求助，依靠
recruit,n.新兵；新成员；v.征募
rectangle,n.长方形，矩形
rectify,v.改正，调正；提纯
rectitude,n.诚实，正直
recumbent,a.侧卧的；休息的
recuperate,v.恢复(健康)，复原
redeem,v.赎罪
redemptive,a.赎回的，救赎的，救世的
redirect,v.改寄(信件)；改变方向
redistribution,n.重新分配
redolent,a.芬芳的，芳香的
redoubtable,a.可敬畏的
redress,n.改正，修正
redundancy,n.过剩；备份；似乎多余其实重要的后备力量
redundant,a.累赘的，多余的
reed,n.芦苇；簧片
reek,v.发臭味；冒烟
reel,n.卷轴，旋转；v.卷…于轴上
refectory,n.(学院)餐厅，食堂
referee,n.裁判员；仲裁者
refinery,n.提炼厂，精炼厂
reflect,v.反射；仔细考虑
refraction,n.折射
refractory,a.倔强的；反应迟钝的
refrain,v.抑制；n.歌曲的反复句，叠句
refresh,v.消除…的疲劳，使精神振作
refugee,n.难民，流亡者
refulgent,a.辉煌的，灿烂的
refurbish,v.刷新，擦亮
refute,v.驳斥
regale,v.款待；使…享受
regime,n.政权，政治制度
regress,v.使倒退，复原，逆行
regressive,a.退步的，退化的
regulate,v.管制；调整
rehabilitate,v.修复，恢复(职业等)
rehearsal,n.排演，演习
rehearse,v.排练，预演；详述
reign,n.统治时期；王朝；领域
reimburse,v.偿还
rein,n.缰绳；v.控制
reinforce,v.加强力量，增援
reinstate,v.恢复(原职)
reiterate,v.重申，反复地说
rejoice,v.喜欢，高兴
rejuvenate,v.使返老还童
relapse,n.旧病复发；再恶化；v.旧病复发，再恶化
relate,v.讲述；有关联
relaxation,n.松弛，消遣
release,v.释放，放出；n.释放
relegate,v.降级，贬谪
relent,v.动怜悯心；减弱
relenting,a.减弱的，怜悯的
relentless,a.无情的，残酷的
relevance,n.相关
reliance,n.信赖，信任
relic,n.遗物，遗迹
relieved,a.宽慰的，如释重负的
religion,n.宗教，信仰
relinquish,v.放弃，废除
relish,n.味道；喜好；v.喜好，享受
remainder,n.剩余物
remains,n.遗址，废墟
reminder,n.提醒人记忆之物
reminisce,v.追忆，怀旧
remiss,a.疏忽的，不留心的
remnant,n.残余物；零头布料
remorse,n.懊悔，悔恨
remove,v.移走；脱掉；迁移
remunerative,a.报酬高的，有利润的
rend,v.撕裂；猛拉
render,v.呈递，表现；提供
rendering,n.演出；翻译
rendezvous,n.约会；约会地点
renegade,n.叛教者，叛徒
renege,v.背信，违约
renounce,v.(正式)放弃
renovate,v.修复，装修，翻新
renown,n.名望，声誉
rent,n.裂缝；(意见)分歧
reparable,a.能补救的，可挽回的
reparation,n.赔偿，补偿
repartee,n.机灵的回答
repatriate,v.(自异国)遣返
repeal,v.废除(法律)
repel,v.击退，使…反感
repellent,a.令人厌恶的
repercussion,n.反响；影响；回声
repertoire,n.(剧团等)常备剧目
repine,v.不满，心中抱怨
replenish,v.补充，再装满
replete,a.饱满的，塞满的
reportorial,a.记者的；记实的
repose,n./v.躺着休息，安睡
reprehend,v.谴责，责难
reprehensible,a.应受谴责的
repressed,a.被压制的，被压抑的
reprieve,v.缓刑，暂时解救；n.缓刑，暂时解救
reprimand,n.训诫，谴责；v.训诫，谴责
reprisal,n.(政治或军事的)报复
reprise,n.(音乐剧中)乐曲的重复；重复
reproach,n.谴责，责骂
reprobate,v.谴责，指责；adj./n.堕落的(人)
reproof,n.责斥，责备
reprove,v.责骂，申斥
reptile,n.爬行动物；卑鄙的人
reptilian,a.爬虫类的；卑下的
repudiate,v.拒绝，抛弃
repugnance,n.嫌恶，反感
repugnant,a.令人厌恶的
repulse,v.驱逐，击退；厌恶；n.驱逐，击退，厌恶
repulsion,n.厌恶，反感；排斥力
reputation,n.名声
repute,n.名声，名誉
request,n.要求，请求；v.要求，请求
requisite,n.必需物；a.必要的
requite,v.报答；报复
rescind,v.废除，取消
rescission,n.废除
rescue,n./v.解救；把…从法律监管下强行夺回
resent,v.憎恶，愤恨
resentment,n.愤恨，怨恨
reserve,n.储备(物)，储藏量；缄默，谨慎；v.保留，储备，预订
reside,v.居住
resident,n.居民；a.定居的，常驻的
residual,a.残余的，剩余的
residue,n.剩余
resignation,n.听从，顺从；辞职
resigned,a.逆来顺受的，顺从的
resilience,n.弹性，弹力
resilient,a.有弹性的；能恢复活力的，适应力强的
resin,n.树脂
resonant,a.(声音)洪亮的；共鸣的
resort,n.度假胜地
resound,v.回荡着声音；鸣响
resourceful,a.机智的
respiration,n.呼吸
respite,n.休息；暂缓
resplendent,a.华丽的，辉煌的
respondent,n.被告
response,n.反应，响应，回答
responsive,a.敏感的，反应快的
responsiveness,n.应答，响应
restitution,n.归偿；赔偿
restive,a.不安静的，不安宁的
restiveness,n.倔强；难以驾御
restless,a.不停的；不安静的
restore,v.使回复，恢复；修复，修补
restored,a.恢复的，复修的
restrain,v.克制，抑制
restraint,n.克制
resume,v.重新开始，继续
resurgence,n.再起，复活，再现
resurrect,v.使复活；复兴
resuscitate,v.使复活，使苏醒
retail,v.零售；n.零售
retain,v.保留，保持；留住
retainer,n.侍从
retaliate,v.报复，反击
retaliation,n.报复
retard,v.妨碍；减速
reticent,a.沉默不语的
retinue,n.侍从，随员团
retiring,a.隐居的，不喜欢社交的
retort,v.反驳
retouch,v.修描；润色
retrace,v.回顾，追想
retract,v.缩回，收回
retreat,n./v.撤退；隐居处
retrench,v.节省，紧缩费用
retribution,n.报应，惩罚
retrieve,v./n.寻回，取回；挽回(错误)
revealing,a.暴露的，裸露的；揭露性的
revelation,n.显示；泄露的事实
revelry,n.狂欢
revenge,n.报复，报仇
revenue,n.总收入；国家的税收收入
reverberate,v.起回声，反响
revere,v.尊敬
reverie,n.幻想，梦幻曲
reverse,n.反面；相反；v.倒车；反转
revert,v.恢复，回复到；重新考虑
revile,v.辱骂，恶言相向
revise,n./v.改变，修正
revitalize,v.使重新充满活力
revive,v.使苏醒；再流
revolt,v.叛乱，造反；反感
revue,n.时事讽刺剧
reward,n.酬报，奖赏；v.酬谢，奖赏
rewarding,a.有益的，值得做的
rhetoric,n.修辞学，浮夸的言语
rhinestone,n.水晶石，莱茵石
rhubarb,n.(植物)大黄；v./n.喧闹争吵
rhyme,n.押韵；v.押韵
rhythmic,a.有节奏的
rib,n.肋骨；伞骨
ribald,a.下流的，粗鄙的
rickety,a.不牢靠的，摇摇欲坠的
riddle,n.谜语
rider,n.骑手；附文，附件
ridge,n.脊(如屋脊，山脊等)；隆起物
ridicule,n.奚落；v.嘲笑
rife,a.流行的，普遍的
rifle,n.步枪；v.抢劫
rift,n.裂口，断裂；矛盾
rig,v.欺骗，舞弊，伪造
rigid,a.硬性的，刚硬的
rigor,n.严酷；严格，苛刻；严密，精确
rile,v.使…恼火，激怒
rind,n.(西瓜等)外皮
ringlet,n.卷发
riot,v.参加暴动
riotous,a.暴乱的；蛮横的
ripen,v.使成熟
ripple,v.起涟漪；n.细浪，涟漪
rite,n.(宗教的)仪式
ritual,n.仪式，例行习惯
rival,n.竞争者，对手；v.与…匹敌
rivalry,n.竞争，对抗
rive,v.撕开，分裂
riven,a.撕裂的，分裂的
rivet,n.铆钉；v.吸引(注意力)
riveting,a.非常精彩的
rivulet,n.小溪，小河
robe,n.长袍，礼服
robust,a.健壮的
roe,n.鱼卵
roil,v.煽动，搅浑
rookie,n.新兵，新手
roster,n.值班表，花名册
rostrum,n.讲台，讲坛
rotate,v.旋转，转动；轮流，交替
rotten,a.腐败的；糟糕的
roughen,v.变得粗糙，变得不平
royalty,n.版税
rubicund,a.(脸色)红润的
rudder,n.船舵；领导者
rudimentary,a.初步的，未充分发展的
rue,n.后悔，遗憾
ruffian,n.恶棍，歹徒；a.残暴的
ruffle,v.弄皱；激怒；n.皱边(装饰衣服)
ruminant,a.(动物)反刍的；沉思的
rumple,v.弄皱，弄乱
rung,n.梯子横挡，梯级
runic,a.北欧古代文字的；神秘的
rupture,n./v.破裂，断裂
rural,a.乡村的
ruse,n.骗术，诡计
rustic,a.乡村的，乡土气的
ruthlessness,n.无情，残忍
sabotage,n.阴谋破坏，颠覆活动
saboteur,n.从事破坏活动者
saccharin,n.糖精
sacred,a.神圣的，庄严的
sacrifice,n.牺牲；v.宰牲祭神
sacrilege,n.亵渎，冒犯神灵
sacrilegious,a.亵渎神圣的
sadden,v.使伤心，使悲哀
saddle,n.鞍，马鞍
safeguard,n.防范措施
sagacious,a.聪明的，睿智的
sage,a.智慧的；n.智者
saintly,a.圣徒似的，极为圣洁的
salient,a.显著的，突出的
saliva,n.唾液，口水
salmon,n.大麻哈鱼；鲜肉色
salubrious,a.有益健康的
salutary,a.有益的，有益健康的
salutation,n.招呼，致意，敬礼
salute,v.行举手礼；向…致意；n.敬礼
salvage,n./v.(从灾难中)抢救，海上救助
salve,n.药膏；v.减轻，缓和
sampler,n.刺绣花样；取样员
sanctify,v.使神圣
sanctimonious,a.假装神圣的
sanction,n./v.批准，认可
sandal,n.凉鞋，拖鞋
sane,a.神志清楚的，明智的
sanguine,a.乐观的
sanity,n.神志清楚
sap,n.树液；活力；v.消弱，耗尽
sapient,a.有智慧的
sapphire,n.青石，蓝宝石；a.天蓝色的
sarcastic,a.讽刺的
sartorial,a.裁缝的，缝制的
sash,n.肩带
sate,v.使心满意足，使厌腻
satiated,a.；厌倦的，生腻的
satire,n.讽刺(作品)
satirize,v.讽刺
saturate,v.浸透；使充满
saturated,a.渗透的，饱和的
saturnine,a.忧郁的，阴沉的
saunter,n./v.闲逛，漫步
savage,a.凶猛的，野蛮的
savant,n.博学之士，大学士
savvy,a.有见识和精明能干的
sawdust,n.锯屑
scabbard,n.(刀剑)鞘
scad,n.许多，大量
scaffold,n.脚手架(造房时搭的架子)
scalding,a.滚烫的
scale,n.鱼鳞；(音乐)音阶
scalpel,n.外科手术刀，解剖刀
scandal,n.丑闻；恶意诽谤
scant,a.不足的，缺乏的
scarcity,n.不足，缺乏
scarf,n.围巾，披肩
scathing,a.苛刻的，严厉的
scatter,v.散开，驱散
scenario,n.剧情说明书；剧本
schematic,a.纲要的，图解的
schematize,v.扼要表示
scheme,n.阴谋；(作品等)体系，结构
schism,n.组织分裂
school,n.鱼群
scion,n.嫩芽；子孙
scissor,n.剪刀
scoff,v.嘲笑；狼吞虎咽；n.嘲笑，笑柄
scoop,n.小铲，勺子；v.(用勺子)取出，舀出
scope,n.眼界；范围
scorch,v.烤焦，烧焦
score,n.乐谱
scorn,n.轻蔑；v.轻蔑，瞧不起
scorpion,n.蝎子
scotch,v.镇压，粉碎
scourge,n.鞭笞；磨难；v.鞭笞，磨难
scowl,n.怒容；v.生气地皱眉，怒视
scrap,n.小片，碎屑；v.废弃
scrappy,a.碎片的；好斗的；坚毅的
scrawl,v.潦草地写，乱涂
screw,n.螺丝钉，螺旋；吝啬鬼
screwdriver,n.螺丝起子；改锥
scribble,v.乱写，乱涂
script,n.剧本，脚本
scripture,n.经文，圣典
scroll,n.卷轴，纸卷；画卷
scrub,n.矮树丛；身体矮小的人；v.用力擦洗
scruple,n.顾忌，迟疑；v.顾忌
scrutable,a.可以理解的
scrutinize,v.详细检查；细读
scuff,v.拖着脚走
sculpt,v.雕刻
sculptor,n.雕刻家
scurrilous,a.下流的
scurry,v.急跑，疾行
scurvy,a.卑鄙的，可鄙的
scythe,n.大镰刀
seam,n.缝，接缝
seamy,a.肮脏的，恶劣的
sear,v.(以烈火)烧灼
seasoned,a.有经验的，训练有素的
seasoning,n.调味品，佐料
secede,v.正式脱离或退出(组织)
secrete,v.隐藏；分泌
secretive,a.守口如瓶的
secular,a.世俗的，尘世的
secure,a.安全的；稳固的；v.固定；使安全
securities,n.证券
sedate,a.镇静的
sedative,a.(药物)镇静的；n.镇静剂
sedentary,a.久坐的
sediment,n.沉淀物，渣
sedulity,n.勤奋，勤勉
sedulous,a.聚精会神的，勤勉的
seedling,n.幼苗
seemly,a.得体的，适宜的
seep,v.(液体等)渗漏
seethe,v.沸腾，汹涌
segment,n.部分
seine,n.拉网，大捕鱼网
seismic,a.地震的
semblance,n.外貌；相似
seminal,a.有创意的
seminary,n.神学院
sensation,n.知觉；轰动(的事)
sensible,a.明智的；可感觉到的
sensitive,a.敏感的
sensitivity,n.敏感，灵敏性
sensitization,n.敏化
sentient,a.有知觉的；知悉的
sentiment,n.多愁善感；思想感情
sentinel,n.哨兵，卫兵
separate,v.使分开；a.不同的；独自的
septic,a.受感染的，腐败的
sepulchral,a.坟墓的；阴深的
sequential,a.连续的，一连串的
sequester,v.(使)隐退；使隔离
seraphic,a.如天使般的，美丽的
sere,a.干枯的，凋萎的
serene,a.清澈的，晴朗的，安静的
serial,a.连续的，一系列的
sermon,n.布道；说教，训诫
serrate,a.锯齿状的
serrated,a.呈锯齿状的
serried,a.密集的
serviceable,a.可用的，耐用的
servile,a.奴性的，百依百顺的
servitude,n.奴役，劳役
setback,n.挫折
settle,v.安置于；决定；栖息
settled,a.固定的
sever,v.切断，脱离
severe,a.严格的；凶猛的
sewer,n.排水沟，下水道
sextant,n.六分仪(航海定向仪器)
shackle,n.脚镣，枷锁
shale,n.页岩(一种由似泥土细粒的沉淀物层组成的易分裂的岩石)
sham,n.虚假；v.伪装
shambles,n.凌乱景象，杂乱无章
shard,n.(陶器等)碎片
shattered,a.粉碎的；破坏的
shavings,n.刨花
shear,v.剪(羊毛)，剪发
sheath,n.(刀、剑)鞘、套
sheathe,v.将(刀，剑等)插入鞘
shed,v.流出(眼泪等)；脱落(叶子)
sheer,a.完全的；陡峭的；极薄的
shell,n.贝壳；炮弹；v.剥去…的壳
shelter,n.掩蔽处，掩蔽；v.庇护，保护
shelve,v.搁置
sheriff,n.警长，县治安官
shield,n.盾；v.掩护，遮挡
shiftiness,n.奸诈
shiftless,a.没有决断力的；偷懒的；无能的
shingle,n.木瓦，屋顶板；木质小招牌
shipshape,a.整洁的，井然有序的
shirk,v.逃避，规避
shoal,n.浅滩，浅水处；一群(鱼等)；a.水浅的
shoddy,n.劣质的，冒充好货的
shoot,n.嫩芽，新芽
shoplift,v.在商店里偷窃货品
shopworn,a.在商店中陈列旧了的
shoulder,n.肩；路肩
shove,v.推挤，猛推
shrewd,a.判断敏捷的，精明的
shriek,v.尖叫
shrine,n.神龛，圣地
shrink,v.收缩，皱缩
shroud,n.寿衣；遮蔽物；v.覆盖
shrub,n.灌木
shrug,v.耸肩(表示怀疑等)
shuck,n.(植物的)壳，夹；无用之物
shudder,v./n.战栗，发抖
shun,v.避免，闪避
shunt,v.使(火车)转到另一轨道，转移方向
sibilant,a.发出咝咝声的
sibling,n.兄弟或姊妹
sibyl,n.女预言家，女先知
sidereal,a.恒星的
sideshow,n.杂耍，穿插表演
sidestep,v.横跨一步以躲避；回避
siege,n.包围，围攻
sift,v.筛，过滤
signal,n.信号；v.发信号；a.显著的
significant,a.相当数量的；意义重大的
signify,v.表示；有重要性
sill,n.门槛；窗台
silt,n.淤泥，淤沙
silversmith,n.银匠
simper,v.痴笑，傻笑
simpleton,n.笨蛋
simulate,v.假装，模仿
simultaneous,a.同时发生的
sincere,a.诚实的，正直的；真挚的，纯净的
sinecure,n.挂名差事，闲职
sinew,n.腱，肌肉)；力量
singe,v.(轻微地)烧焦，烫焦
singularity,n.独特；奇点(天文学上密度无穷大、体积无穷小的点)
sinuous,a.蜿蜒的，迂回的
sip,v.啜饮
siren,n.汽笛，警报器
skeleton,n.骨架，骨骼；提纲
sketchy,a.概略的，粗略的
skew,a.不直的，歪斜的
skewer,n.(烤肉用的)穿肉杆；v.用杆穿好
skiff,n.轻舟，小船
skillet,n.煎锅
skim,v.从液体表面撇去；浏览，略读
skimp,v.节省花费
skinflint,n.吝啬鬼
skirmish,n.小战，小争吵
skirt,v.环绕，逃避
skit,n.幽默讽刺短剧
skyscraper,n.摩天大楼
slab,n.厚板，厚块
slack,a.懒散的，懈怠的；(绳)松弛的；v.松懈，怠惰
slacken,v.(使)松弛，放松
slag,n.炉渣，矿渣
slake,v.解渴，消渴
slander,v./n.诽谤，诋毁
slanderous,a.诽谤的
slant,v.倾斜；n.斜面；看法
slate,n.石板；候选人名单；v.提名
slaughter,v./n.屠杀，屠宰
sleigh,n.(马拉的)雪橇
slew,v.(使)旋转；n.大量
slice,v.切成片；n.薄片
slick,a.熟练的；圆滑的；光滑的
slight,a.微小的；n./v.轻蔑
slippage,n.滑动，下降
slippery,a.滑的；狡猾的
slipshod,a.马虎的，草率的
slither,v.(蛇)滑动，扭动前进
sliver,n.长条；v.裂成细片
sloppy,a.邋遢的，不整洁的
slot,n.狭孔
sloth,n.懒惰；树獭(一种动物)
slouch,n.没精打采的样子；v.没精打采地坐(站、走)
slough,v.(蛇等)蜕皮；n.(蛇等的)蜕皮
sluggard,n.懒鬼
sluice,n.水门，水闸；v.冲洗
slumber,v.睡眠，安睡；n.安睡
slur,v.含糊不清地讲
slurp,v.大声地啜喝
sly,a.狡猾的，鬼鬼祟祟的
smarmy,a.虚情假意的
smart,n.痛苦；a.时髦的；聪明的
smattering,n.略知；少数
smear,n.油渍，污点；v.弄脏，玷污
smirk,v.假笑，得意地笑
smooth,a.光滑的；平稳的；v.弄平，使光滑；消除
smother,v.覆盖；(使)闷死
smudge,n.渍痕；v.弄脏
smug,a.自满的，自命不凡的
smuggle,v.走私，私运
snare,n.罗网，陷阱
snarl,n./v.纠缠，混乱
snatch,n./v.强夺，攫取
sneaking,a.秘密的，不公开的
sneer,v.嘲笑，鄙视
snide,a.讽刺的，含沙射影的
snip,v.剪断
snitch,v.告密；偷
snobbish,a.势利眼的；假充绅士的
snowdrift,n.雪堆
snub,v.冷落，不理睬
snug,a.温暖的，舒适的
soak,v.浸泡，渗透
soar,v.高飞，翱翔；猛增
sober,a.清醒的；庄重的
sobriety,n.节制，庄重
sock,v.重击，痛打
sod,n.草地，草坪
sodden,a.浸透了的
soggy,a.湿透的
soil,n./v.弄脏，污损
solace,n.安慰，慰藉
solder,v.焊接，焊合
solemn,a.严肃的，庄严的；黑色的
solemnity,n.庄严，肃穆
solicit,v.恳求；教唆
solicitous,a.热切的；挂念的
solicitude,n.关怀，牵挂
solidarity,n.团结，一致
solidify,v.巩固，(使)凝固，(使)团结
solitary,a.孤独的；n.隐士
solitude,n.孤独
solo,a.单独的；n.独唱
soluble,a.可溶的；可以解决的
solvent,a.有偿债能力的；n.溶剂
somatic,a.肉体的
somber,a.忧郁的；阴暗的
sonata,n.奏鸣曲
sonnet,n.十四行诗
soot,n.黑烟灰，油烟
soothe,v.抚慰；减轻
sop,n.泡过的食品；安慰品
sophism,n.诡辩；诡辩法(术)
sophisticated,a.老于世故的；(仪器)精密的
sophistication,n.诡辩，强词夺理；久经世故，老练，精明
sophistry,n.诡辩
soporific,a.催眠的；n.安眠药
sopping,a.浑身湿透的
sorcery,n.巫术，魔法
sordid,a.卑鄙的；肮脏的
souvenir,n.纪念品
sovereign,n.最高统治者，元首
sovereignty,n.主权，统治权
sow,n.母猪；v.播种
spackle,n.填泥料(用以填塞裂缝和洞穴)
span,n.跨度；两个界限间的距离
spank,v.打，拍打(在屁股上)
sparing,a.节俭的
spark,n.火花，火星
sparring,n.拳击，争斗
sparse,a.稀少的，贫乏的
spartan,a.简朴的；刻苦的
spat,n.口角，小争论
spate,n.大批，大量；(水)泛滥
spatial,a.有关空间的，在空间的
spatula,n.(调拌等用的)抹刀
spawn,n.(鱼等)卵子；v.大量生产
spear,n.矛；嫩叶；v.刺戳
specialize,v.专门研究
specialized,a.专门的
specifics,n.细小问题，细节
specimen,n.范例，样品，标本
specious,a.似是而非的；华而不实的
speck,n.斑点；少量
spectacular,a.壮观的，引人入胜的
spectator,n.观众，观看者
specter,n.鬼魂，幽灵；恐惧
spectral,a.幽灵的
spectrum,n.光谱；范围
speculate,v.沉思，思索；投机
speculative,a.投机的；推理的，思索的
spell,n.连续的一段时间
spendthrift,adj./n.挥金如土的(人)
spike,n.长钉，大钉
spin,v.旋转；纺，纺纱；n.旋转
spindly,a.细长的，纤弱的
spineless,a.没骨气的，懦弱的
spiny,a.针状的；多刺的，棘手的
spire,n.(教堂)尖顶
spiritual,a.精神的
spite,n.怨恨，恶意
spleen,n.怨怒
splendor,n.壮丽；辉煌
splice,v.接合，衔接
splint,n.(固定断骨的)夹板，托板
split,n./v.分裂，裂开
splurge,n.炫耀，摆阔
spoil,v.损坏，破坏；溺爱
spoke,n.(车轮上)辐条
spongy,a.像海绵的；不坚实的
spontaneity,n.自然，自发
spontaneous,a.自发的；自然的
spoof,v.揶揄，嘲讽
sporadic,a.不定时发生的
sport,v.炫耀，卖弄
sprain,v.扭伤
sprawling,a.植物蔓生的，(城市)无计划地扩展的
sprig,n.嫩枝，小枝
sprightly,a.愉快的，活泼的
sprout,v.长出，萌芽；n.嫩芽
spruce,n.云杉；a.整洁的
spur,v.刺激，激励；用马刺刺马
spurious,a.假的；伪造的
squabble,n.争吵
squalid,a.污秽的，肮脏的
squall,n.短暂、突然且猛烈的风暴；短暂的骚动
squalor,n.不洁，污秽
squander,v.浪费，挥霍
square,v.一致，符合；结清
squash,v.压碎，挤压；n.南瓜
squat,v.蹲下；a.矮胖的
squeeze,v.压，挤；n.压榨，紧握
squelch,v.压制，镇压
squint,v.斜视
squirrel,n.松鼠
staccato,a.(音乐)断音的，不连贯的
stagnant,a.停滞的
staid,a.稳重的，沉着的
stain,v.玷污；染色
stake,n.柱桩；赌注
stale,a.不新鲜的，陈腐的
stalemate,n.和棋局面，僵局
stalk,v.隐伏跟踪(猎物)
stall,v.使停止，使延迟
stalwart,a.健壮的，坚定的
stammer,v.口吃，结巴
stamp,v./n.跺脚；在…上盖印
stance,n.站姿；立场
stanch,v.制止(血液)，止住
stanza,n.(诗)节，段
staple,n.主要产品
starchy,a.含淀粉的；刻板的
stark,a.(外表)僵硬的；完全的
startle,v.使吃惊
stasis,n.停滞
static,a.静态的，呆板的
stationary,a.静止的，不动的
statuary,n.雕像；雕塑艺术
stature,n.身高，身材
status,n.身分，地位
statute,n.法规，法令
statutory,a.法定的；受法令所约束的
steadfast,a.忠实的；不变的
stealth,n.秘密的行动
steep,v.浸泡，浸透
steer,v.操舵，驾驶；n.公牛，食用牛
stellar,a.星的，星球的
stem,n.(植物的)茎，叶柄；v.阻止，遏制(水流等)
stench,n.臭气，恶臭(stink)
stencil,n.(用以刻写图案、文字的)模板；v.用模板刻写
stentorian,a.(指声音)极响亮的
stereotype,n.固定形式，老套
sterile,a.贫瘠且无植被的；不孕的；无细菌的
sterilize,v.使不育；杀菌
stern,n.船尾
stethoscope,n.听诊器
stickler,n.坚持细节之人
stiff,a.僵直的，呆板的，严厉的
stifle,v.感到窒息；抑止
stigma,n.耻辱的标志，污点
stigmatize,v.污蔑，玷污
stilted,a.(文章，谈话)不自然的；夸张的
stimulant,n.兴奋剂，刺激物
stimulus,n.刺激物，激励
sting,v.刺痛；叮螫；n.螫刺
stinginess,n.小气
stingy,a.吝啬的，小气的
stint,v.吝惜，节省
stipple,v.点画，点描
stipulate,v.要求以…为条件；约定
stipulation,n.规定，约定
stir,v.刺激
stitch,n.(缝纫时的)一针，一钩；v.缝合
stock,a.普通的，惯用的；n.存货
stockade,n.栅栏，围栏
stocky,a.矮胖的，粗壮的
stodgy,a.乏味的
stoic,n.坚忍克己之人
stoke,v.给…添加燃料
stolid,a.无动于衷的
stomach,v.吃得下；容忍
stonewall,v.拖延议事，设置障碍
stout,a.肥胖的；强壮的
stowaway,n.(藏于轮船、飞机中的)偷乘者
straightforward,a.正直的；易懂的；直截了当的
strait,n.海峡；a.狭窄的
strand,n.绳线的一股；v.搁浅
stranded,a.搁浅的，进退两难的
stratagem,n.谋略，策略
