abandon  vt.放弃,遗弃;n.放任,狂热                
pressure  n.压,压力,电压,压迫,强制,紧迫                
prestige  n.声望,威望,威信                
presumably  adv.推测起来,大概                
presume  vt.假定,假设,认为                
pretext  n.借口,托辞;v.借口                
prevail  vi.流行,盛行,获胜,成功                
prevalent  adj.普遍的,流行的                
previous  n.事先查看,[计]预览;vt.事先查看,预展,预演                
preview  adj.在前的,早先的;adv.在...以前;返回上一级菜单                
prey  n.被掠食者,牺牲者,掠食;vi.捕食,掠夺,折磨                
priest  n.牧师                
primarily  adv.首先,起初,主要地,根本上                
primary  adj.第一位的,主要的,初步的,初级的,原来的,根源的                
prime  n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装      
primitive  adj.原始的,远古的,粗糙的,简单的                
principal  n.负责人,首长,校长,主犯,本金;adj.主要的,首要的                
principle  n.法则,原则,原理                
priority  n.先,前,优先,优先权                
privacy  n.独处而不受干扰,秘密                
privilege  n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免                
probability  n.可能性,或然性,概率                
probe  n.探针,探测器;vt.(以探针等)探查,查明                
procedure  n.程序,手续                
proceedings  n.行动,进行,会议录,学报                
process  n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理                
proclaim  vt.宣布,声明,显示,显露                
productive  adj.生产性的,生产的,能产的,多产的                
productivity  n.生产力                
profess  v.表示                
profession  n.职业,专业,表白,宣布                
professional  n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的                
proficiency  n.熟练,精通,熟练程度                
profitable  adj.有利可图的                
profound  adj.深刻的,意义深远的,渊博的,造诣深的                
progressive  n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的                
prohibit  vt.禁止,阻止                
project  n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出              
prolong  vt.延长,拖延                
prominent  adj.卓越的,显著的,突出的                
promising  adj.有希望的,有前途的                
promote  vt.促进,发扬,提升,提拔,晋升为                
prone  adj.倾向于                
proof  n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透          
propaganda  n.宣传,[天主教]传道总会                
propagate  v.繁殖,传播,宣传                
propel  vt.推进,驱使                
property  n.财产,所有物,所有权,性质,特性,(小)道具                
prophet  n.先知,预言者,提倡者                
proposition  n.主张,建议,陈述,命题                
prose  n.散文                
prosecute  vt.实行,从事,告发,起诉;vi.告发,起诉,作检察官                
prospect  n.景色,前景,前途,期望;vi.寻找,勘探                
prospective  adj.预期的                
prosperous  adj.繁荣的                
protein  n.[生化]蛋白质;adj.蛋白质的                
protest  n.主张,断言,抗议;v.主张,断言抗议,拒付                
prototype  n.原型                
provided  conj.倘若                
provision  n.供应,(一批)供应品,预备,防备,规定                
provocative  adj.煽动的;n.刺激物                
provoke  vt.激怒,挑拨,煽动,惹起,驱使                
proximity  n.接近,亲近                
prune  v.剪除                
psychiatrist  n.精神病医师,精神病学家                
psychological  adj.心理(上)的                
pudding  n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)                
pumpkin  n.南瓜                
purchase  vt.买,购买;n.买,购买                
purify  vt.使纯净;v.净化                
purity  n.纯净,纯洁,纯度                
pursue  vt.追赶,追踪,追击,继续,从事                
pursuit  n.追击                
qualitative  adj.性质上的,定性的                
quantify  vt.确定数量;v.量化                
quantitative  adj.数量的,定量的                
quart  n.夸脱(容量单位)                
quarterly  n.季刊;adj.一年四次的,每季的;adv.每季地                
quartz  n.石英                
queer  n.同性恋者;adj.奇怪的,可疑的，不舒服的;vt.搞糟;                
quench  vt.结束,熄灭，淬火;vi.熄灭,平息                
quest  n.寻求                
questionnaire  n.调查表,问卷                
quiver  n.震动,颤抖,箭袋,箭袋中的箭;vi.颤抖,振动,射中;vt.使颤动;adj.敏捷的              
quota  n.配额,限额                
racial  adj.人种的,种族的,种族间的                
racket  n.球拍,喧闹纷乱;v.过着花天酒地的生活                
radiant  adj.发光的,辐射的,容光焕发的                
radiate  vt.放射,辐射,传播,广播;vi.发光,辐射,流露;adj.有射线的,辐射状的              
radical  adj.根本的,基本的,激进的;n.激进分子                
radioactive  adj.放射性的,有辐射能的                
radius  n.半径,范围,辐射光线,有效航程,范围,界限                
random  n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地                
rank  n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩          
rap  n.叩击,轻拍,轻敲,斥责;vt.敲,拍,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹        
rape  n.掠夺,强奸,葡萄渣,油菜;vt.掠夺,强奸                
rarely  adv.很少地,罕有地                
rash  adj.轻率的,匆忙的,卤莽的;n.[医]皮疹                
rating  n.等级级别(尤指军阶),额定,责骂,申斥                
rational  adj.理性的,合理的,推理的;n.[数]有理数                
reaction  n.反应,反作用,反动(力)                
readily  adv.乐意地,欣然,容易地                
realistic  adj.现实(主义)的                
reap  v.收割,收获                
reassure  vt.使...安心,再保证,使...恢复信心,打消...的疑虑                
rebel  n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱            
rebellion  n.谋反,叛乱,反抗,不服从                
recall  vt.回忆,回想,记起,取消;n.召回                
recede  v.后退                
receipt  n.收条,收据,收到;v.收到                
reception  n.接待,招待会,接收                
recession  n.撤回,退回,退后,工商业之衰退,不景气                
recipe  n.处方                
recipient  adj.容易接受的,感受性强的;n.容纳者,容器                
reciprocal  adj.互惠的,相应的,倒数的,彼此相反的;n.倒数,互相起作用的事物                
recite  v.背诵,朗读,叙述,[律]书面陈述(事实)                
reckless  adj.不计后果的                
reckon  vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想                
reclaim  vt.要求归还,收回,开垦                
recognition  n.赞誉,承认,重视,公认,赏识,识别                
recognize  vt.认可,承认,公认,赏识;vi.具结                
reconcile  vt.使和解,使和谐,使顺从                
reconciliatio  n.和解,调和,顺从                
recover  vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件            
recovery  n.恢复,痊愈,防御                
recreation  n.消遣,娱乐                
recruit  n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原                
rectangular  adj.矩形的,成直角的                
rectify  vt.矫正,调整,[化]精馏                
recur  vi.复发,重现,再来                
recycle  v.使再循环,反复应用;n.再循环,再生,重复利用                
redundant  adj.多余的                
reel  n.(棉纱,电线的)卷轴,(磁带等的)一盘,旋转,蹒跚;vt.卷...于轴上,使旋转;vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃          
referee  n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判                
reference  n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)                
reflect  v.反射,反映,表现,反省,细想                
reform  n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组              
refrain  n.重复,叠句,[乐]副歌;vi.节制,避免,制止                
refresh  v.(使)精神振作,(使)精力恢复,更新                
refreshment  n.点心,饮料,精力恢复,爽快                
refuge  n.庇护,避难,避难所                
refund  v.退还,偿还;n.归还,偿还额,退款                
refusal  n.拒绝,推却,优先取舍权,优先取舍的机会                
refute  vt.驳倒,反驳                
regime  n.政体,政权,政权制度                
regiment  n大量，v严格的管                
region  n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层              
register  n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号            
regulation  n.规则,规章,调节,校准                
rehearsal  n.排演,演习,预演,试演                
reign  vi.统治,支配,盛行,占优势;n.统治,统治时期,支配                
rein  n.缰绳,统治,支配;vt.以缰绳控制,统治,驾驭;vi.勒住马,止住                
reinforce  vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物              
reject  n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃            
rejoice  v.(使)欣喜,(使)高兴,喜悦                
relative  n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的                
relay  n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播            
release  n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布            
relevant  adj.有关的,相应的                
reliable  adj.可靠的,可信赖的                
reliance  n.信任,信心,依靠,依靠的人或物                
relief  n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌                
relieve  vt.减轻,解除,援救,救济,换班                
religion  n.宗教,信仰                
religious  adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士              
relish  n.意味                
reluctant  adj.不顾的,勉强的,难得到的,难处理的                
rely  v.依赖,依靠,信赖,信任,依赖于                
remain  vi.保持,逗留,剩余,残存                
remainder  n.残余,剩余物,其他的人,[数]余数;v.廉价出售;adj.剩余的,出售剩书的              
remedy  n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补                
remnant  n.残余,剩余,零料,残迹;adj.剩余的,残留的                
remote  adj.遥远的,偏僻的,细微的                
renaissance  n.复兴,复活,新生,文艺复兴,文艺复兴时期                
render  vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底              
repay  v.偿还,报答,报复                
repel  vt.击退,抵制,使厌恶,使不愉快                
repertoire  n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能            
represent  vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议                
repression  n.镇压,抑制,抑压                
reproach  v.责备                
reputation  n.名誉,名声                
resemblance  n.类同之处                
resent  v.愤恨,怨恨                
reservation  n.保留,(旅馆房间等)预定,预约                
reserve  n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约                
reside  vi.居住                
resident  n.居民;adj.居住的,常驻的                
residential  adj.住宅的,与居住有关的                
resign  n.辞去(职务);v.辞去,辞职                
resistant  adj.抵抗的,有抵抗力的                
resolve  n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决                
resort  vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地                
respective  adj.分别的,各自的                
respond  v.回答,响应,作出反应;vi.有反应                
response  n.回答,响应,反应                
responsible  adj.有责任的,可靠的,可依赖的,负责的                
restore  vt.恢复,使回复,归还,交还,修复,重建                
restrain  vt.抑制,制止                
restraint  n.抑制,制止,克制                
restrict  vt.限制,约束,限定                
resultant  adj.作为结果而发生的,合成的                
resume  n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复                
retain  vt.保持,保留                
retention  保持力                
retort  v.反驳,反击,回报;n.曲颈甑,曲颈瓶,蒸器                
retrieve  v.重新得到;n.找回                
retrospect  n.回顾                
reunion  n.团圆,重聚                
reveal  vt.展现,显示,揭示,暴露                
revelation  n.显示,揭露,被揭露的事,新发现,启示,揭示                
revenge  n.报仇,复仇;vt.替...报仇,复仇                
revenue  n.收入,国家的收入,税收                
reverse  n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转                
revive  v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想                
revolutionary  adj.革命的                
revolve  v.(使)旋转,考虑,循环出现                
reward  n.报酬,奖金;vt.酬劳,奖赏                
rhythm  n.节奏,韵律                
ridiculous  adj.荒谬的,可笑的                
rig  n.索具装备,钻探设备,钻探平台,钻塔;v.装上索具,配备,装配                
rigorous  adj.严格的,严厉的,严酷的,严峻的                
rim  n.边,轮缘,蓝框;vt.镶边,为...装边,沿...边缘滚动;vi.形成边状                
rip  v.撕,剥,劈,锯,裂开,撕裂;n.裂口,裂缝                
ritual  n.典礼,(宗教)仪式,礼节;adj.典礼的,(宗教)仪式的                
rival  n.竞争者,对手;v.竞争,对抗,相匹敌                
rivalry  n.竞争,竞赛,敌对,敌对状态                
robust  adj.精力充沛的                
romance  n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构                
rot  v.(使)腐烂,(使)腐败;n.腐烂,腐败                
rotary  adj.旋转的                
routine  n.例行公事,常规,日常事务,程序                
royalty  n.皇室,王权                
ruin  v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹                
rupture  v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂                
sacred  adj.神的,宗教的,庄严的,神圣的                
sacrifice  n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉                
safeguard  vt.维护,保护,捍卫;n.安全装置,安全措施                
sake  n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒                
salute  n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼;v.行礼致敬,敬礼              
salvation  n.拯救,救助                
sample  n.标本,样品,例子;vt.取样,采样,抽取...的样品,试验的一部分,尝试              
sanction  n.&v.批准,同意,支持,制裁,认可                
saturate  v.使饱和,浸透,使充满                
savage  adj.野蛮的,未开化的,凶猛的,残忍的;vt.用暴力对付;n.原始的人,粗鲁的人              
scale  n.刻度,衡量,比例,数值范围,比例尺,天平,等级;vt.依比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量          
scan  v.细看,审视,浏览,扫描;n.扫描                
scandal  n.丑行,丑闻,诽谤,耻辱,流言蜚语                
scar  n.伤痕,疤痕;v.结疤,使留下伤痕,创伤                
scatter  v.分散,散开,撒开,驱散                
scent  n.气味,香味,香水,线索,嗅觉,臭迹;vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味;vi.嗅猎,发出气味            
schedule  n.时间表,进度表;v.确定时间                
scheme  n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划                
scope  n.(活动)范围,机会,余地                
score  n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分          
scorn  n.轻蔑,嘲笑,被叱责的人;vt.轻蔑,不屑做                
scramble  n.爬行,攀缘,抢夺,混乱;vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙;vt.攀登,搅乱,使混杂              
scrap  n.小片,废料,剪下来的图片,文章,残余物,废料,打架;vt.扔弃,敲碎,拆毁;vi.互相殴打;adj.零碎的,废弃的          
scrape  n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成              
scratch  n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的          
screw  n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧            
scrub  v.洗擦,使(气)净化;n.洗擦,擦洗者,矮树,灌木,丛林地,矮小人(或动物);adj.次等的,矮小的,临时凑合的          
scrutiny  n.详细审查                
sculpture  n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀                
seam  n.接缝,线缝,缝合线,衔接口,伤疤,层;vt.缝合,接合,焊合,使留下伤痕;vi.裂开,发生裂痕            
security  n.安全                
seemingly  adv.表面上地                
segment  n.段,节,片断;v.分割                
segregate  v.隔离                
semester  n.学期                
senator  n.参议员,(大学的)评议员,(古罗马的)元老院议员                
sensation  n.感觉,感情,感动,耸人听闻的                
sensible  adj.有感觉的,明智的,有判断力的                
sensitive  adj.敏感的,灵敏的,感光的                
sentiment  n.情操,情感,情绪,观点,多愁善感,感情                
sequence  n.次序,顺序,序列                
sergeant  n.警官,军士                
serial  adj.连续的                
series  n.连续,系列,丛书,级数                
setback  n.顿挫,挫折,退步,逆流,(疾病的)复发                
settle  n.有背的长凳;vt.安放,使定居,安排,解决,决定,整理,支付,使平静;vi.安家,定居,停留,下陷,沉淀,决定,澄清          
settlement  n.沉降,解决,结算,殖民,殖民地                
severe  adj.严厉的,严格的,剧烈的,严重的,严峻的                
shabby  adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的                
shaft  n.轴,杆状物                
shark  n.[鱼]鲨鱼,骗子<俚>内行,专家;v.敲诈                
shatter  n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶              
shed  vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下            
sheer  adj.全然的,纯粹的,绝对的,彻底的,透明的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航          
shepherd  n.牧羊人,牧羊狗;v.牧羊,看管,带领                
shield  n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽                
shipment  n.装船,出货                
shove  n.<口>推,挤;vt.<口>推挤,猛推,强使;vi.推                
shrewd  adj.精明                
shrink  v.收缩,(使)皱缩,缩短                
shrub  n.灌木,灌木丛                
shutter  n.耸肩;v.耸肩                
shrug  n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭              
shuttle  n.往返汽车(列车、飞机),航天飞机,梭子,穿梭;v.穿梭往返                
siege  n.包围,围城,长期努力,不断袭击,围攻;v.包围,围攻                
sieve  n.筛,滤网,不会保密的人;v.筛,过滤                
signal  n.信号;adj.信号的;v.发信号,用信号通知                
significant  adj.有意义的,重大的,重要的                
signify  vt.表示,意味;vi.要紧,有重要性;v.颇为重要,表示                
silicon  n.[化]硅,硅元素                
similar  adj.相似的,类似的                
simulate  vt.模拟,模仿,假装,冒充                
simultaneous  adj.同时的,同时发生的                
sip  v.吸吮                
situated  adj.位于,被置于境遇,处于...的立场                
skeleton  n.(动物之)骨架,骨骼,基干,纲要,万能钥匙                
skeptical  adj.怀疑性的,好怀疑的,<口>无神论的                
skip  v.跳,蹦,急速改变,跳读,遗漏,跳跃;n.跳跃                
skull  n.头脑,头骨                
slack  n.松弛,静止,淡季,闲散;adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的;adv.马虎地,缓慢地;vt.使松弛,使缓慢,马虎从事;vi.松懈,减弱,松驰    
slap  vt.拍,掌击,拍击;n.拍,掌击,拍击                
slash  v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打;n.猛砍,(大幅度)削减,斜线              
slaughter  n.屠宰,残杀,屠杀;v.屠宰,残杀,屠杀                
slice  n.薄片,切片,一份,部分,片段;v.切(片)                
slick  adj.光滑的,熟练的,聪明的,华而不实的,陈腐的,平凡的;adv.灵活地,聪明地;vt.使光滑,使漂亮;n.平滑水面,平滑器,修光工具;vi.打扮整洁      
slide  v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片                
slight  adj.轻微的,微小的                
slip  n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行线路接口协议,是旧式的协议
slippery  adj.滑的,光滑的                
slogan  n.口号,标语                
slope  n.斜坡,斜面,倾斜;v.(使)顺斜                
slot  n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹;vt.开槽于,跟踪              
slum  n.贫民窟;vi.访问贫民区                
slump  n.消沉,衰退,(物价)暴跌;v.失败,消沉,(物价)暴跌,跌落                
smash  v.打碎,粉碎;n.打碎,粉碎;adj.出色的                
smuggle  n.走私,偷带;v.走私                
snack  n.小吃,快餐,一份;v.吃快餐(小吃)                
snatch  v.攫取;n.攫取                
sneak  vi.鬼鬼祟祟做事;vt.偷偷摸摸做,<口>偷窃;n.鬼鬼祟祟人,偷偷摸摸行为,<美口>帆布胶底运动鞋;adj.暗中进行的          
sniff  v.用力吸,嗅,闻到,发觉,轻视,用力吸气;n.吸,闻,吸气声,嗤之以鼻                
soar  v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度                
sober  adj.冷静的;v.镇定                
sociology  n.社会学                
solemn  adj.庄严的,隆重的,严肃的                
solicitor  n.律师,法律顾问                
solidarity  n.团结                
solitary  adj.孤独的                
solo  n.独奏曲;adj.单独的                
soluble  adj.可溶的,可溶解的                
solution  n.解答,解决办法,溶解,溶液,解决方案                
sophisticated  adj.诡辩的,久经世故的                
sour  adj.酸的,发酵的,酸腐的,酸味的                
sovereign  n.君主,统治;adj.至高无上的,君主的,独立自主的,完全的                
spacious  adj.广大的,大规模的                
span  n.跨度,跨距,范围;v.横越                
sparkle  v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁;n.火花,闪光,光彩,活力,发泡            
specialist  n.专门医师,专家                
specialty  n.专业                
species  n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物                
specific  n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的              
specification  n.详述,规格,说明书,规范                
spectacle  n.观览物,展览物,公开展示,奇观,景象,光景,(apairof～s)眼镜                
spectator  n.观众(指比赛或表演)                
spectrum  n.光,光谱,型谱,频谱                
speculate  vi.推测,思索,做投机买卖                
spice  n.香料,调味品,趣味,意味,情趣                
spine  n.脊骨,书脊,地面隆起地带,中心,剌                
spiral  adj.螺旋形的;n.螺旋;v.盘旋                
spite  n.(in～of)不顾,不管,敌意;v.困扰                
splash  n.溅,飞溅,斑点;v.溅,泼,溅湿                
spoil  vt.损坏,搞糟,宠坏,溺爱;v.扰乱                
sponge  n.海绵,(外科用的)棉球,纱布;v.用海绵冼涤,揩拭,清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人,海绵般吸收          
spontaneous  adj.自发的,自然产生的                
spouse  n.配偶(指夫或妻)                
sprinkle  v.撒(某物)于(某物之表面),洒,喷撒                
spy  n.特工人员,间谍,侦探,探员,秘密侦察他人行动者;v.侦察,侦察,发现              
squad  n.班                
stab  n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛;v.剌,刺伤,伤害(感情等)              
stability  n.稳定性                
stabilize  v.稳定                
stable  adj.稳定的                
stack  n.堆,一堆,堆栈;v.堆叠                
stagger  v.摇晃,蹒跚,交错,摇摇摆摆;adj.交错的                
staircase  n.楼梯                
stalk  n.茎,柄,梗,秆                
stall  n.货摊,畜栏,厩,出售摊;v.(使)停转,(使)停止,迟延                
standpoint  n.立场,观点                
staple  n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源;adj.主要的,常用的,大宗生产的;v.把...分类,把...分级          
startle  v.震惊                
statement  n.声明,陈述,综述                
statesman  n.政治家                
stationary  固定的                
status  n.身份,地位,情形,状况                
stereo  n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的                
stereotype  n.[印]铅版,陈腔滥调,老套;vt.使用铅版,套用老套,使一成不变                
stern  adj.严厉的,苛刻的;n.船尾                
sticky  adj.粘的,粘性的                
stimulus  n.刺激物,促进因素,刺激,刺激                
stock  n.树干,库存,股票,股份,托盘,祖先,原料;adj.股票的,普通的,常备的,存货的,繁殖用的;vt.装把手于,进货,备有,放牧;vi.出新芽,采购      
straightforwa  adj.正直的,坦率的,简单的,易懂的,直接了当的;adv.坦率地                
strain  n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力              
strand  n.绳、线之一股,线,绳,串,海滨,河岸;vi.搁浅;vt.使搁浅,使落后,使陷于困境,弄断,搓            
strategy  n.策略,军略                
stray  v.迷路,偏离,漂泊,漂泊游荡;adj.迷路的,离群的,偶遇的                
streak  v.飞跑,加上条纹                
stream  n.溪,川,流,一股,一串,河流;v.流,涌,流注                
streamline  adj.流线型的                
stride  v.大步走(过),跨过,大步行走;n.步幅                
string  n.线,细绳,一串,一行;v.排成一列                
strive  v.努力,奋斗,力争,斗争                
stroke  n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击;vt.抚摸            
stroll  n.漫步,闲逛,四处流浪;v.闲逛,漫步,跋涉于                
stubborn  adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的                
stumble  v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇;n.绊倒,错误                
stump  n.树桩,残余,烟头;v.掘去树桩,砍成树桩,绊倒,难住,截去                
stun  vt.使晕倒,使惊吓,打晕;n.晕眩,打昏,惊倒                
sturdy  adj.强健的,坚定的,毫不含糊的;n.[兽医]家畜晕倒病                
subjective  adj.主观的,个人的                
submarine  n.潜水艇,潜艇;adj.水下的,海底的                
submit  v.(使)服从,(使)顺从;vt.提交,递交                
subordinate  adj.次要的,从属的,下级的;n.下属;v.服从                
subscribe  v.捐款,订阅,签署(文件),赞成,预订                
subsequent  adj.后来的,并发的                
subsidiary  adj.辅助的,补充的                
subsidy  n.补助金,津贴                
substance  n.物质,实质,主旨                
substantial  adj.坚固的,实质的,真实的,充实的                
substitute  n.代用品,代替者,替代品;v.代替,替换,替代                
subtle  adj.狡猾的,敏感的,微妙的,精细的,稀薄的                
subtract  v.(～from)减去,减                
suburb  n.市郊,郊区                
successive  adj.继承的,连续的                
successor  n.继承者,接任者,后续的事物                
sue  vt.控告,向...请求,请愿;vi.提出诉讼,提出请求                
suffice  vi.足够,有能力;vt.使满足                
sufficient  adj.充分的,足够的                
suite  n.(一批)随员,(一套)家具,套房,套,组,组曲                
sulfur  n.[化]硫磺,硫黄;vt.用硫磺处理                
summit  n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的                
summon  v.召集,召唤,号召,鼓起,振作                
superficial  adj.表面的,肤浅的,浅薄的                
superintenden  n.主管,负责人,指挥者,管理者                
superior  n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的                
superiority  n.优越,高傲                
supersonic  adj.超音波的;n.超声波,超声频                
supervise  v.监督,管理,指导                
supplement  n.补遗,补充,附录,增刊;v.补充                
supplementary  n.(supplementaries)增补者,增补物;adj.附助的                
suppress  vt.镇压,抑制,查禁,使止住                
supreme  adj.极度的,极大的,至高的,最高的                
surge  n.巨涌,汹涌,澎湃;vi.汹涌,澎湃,振荡,滑脱,放松;vt.使汹涌奔腾,急放              
surgeon  n.外科医生                
surgery  n.外科,外科学,手术室,诊疗室                
surpass  vt.超越,胜过                
surplus  n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉                
survival  n.生存,幸存,残存,幸存者,残存物                
survive  v.幸免于,幸存,生还                
susceptible  adj.易受影响的,易感动的,容许...的;n.(因缺乏免疫力而)易得病的人              
suspension  n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟                
suspicion  n.猜疑,怀疑                
suspicious  adj.(～of)可疑的,怀疑的                
sustain  vt.支撑,撑住,维持,持续                
swamp  n.沼泽,湿地,煤层聚水;v.陷入沼泽,淹没,覆没                
swap  v.交换;n.交换                
symbol  n.符号,记号,象征                
symmetry  n.对称,匀称                
sympathetic  adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人                
sympathy  n.同情,同情心                
symphony  n.交响乐,交响曲                
symposium  n.讨论会,座谈会                
syndrome  n.综合病症                
synthesis  n.综合,合成                
tack  n.大头钉,粗缝,行动方针,食物;vt.以大头针钉住,附加;vi.抢风航行,作文字形移动              
tackle  n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒          
tame  adj.(动物)驯服的,柔顺的,(人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服        
