abandon [ə'bændən] v./n.放弃；放纵
uncouth [ʌn'ku:θ] a.粗野笨拙的，无教养的；拙于说话的
unctuous ['ʌŋktjuəs] a.油质的；油腔滑调的
underbid ['ʌndə'bid] v.要价过低
undercut ['ʌndəkʌt] v.削价与(竞争者)抢生意
underdog ['ʌndədɔɡ] n.处于劣势的人或国家
underestimated ['ʌndər'estimeitid] a.低估的
undergird ['ʌndə'ɡə:d] v.从底部加强，加固
underhanded ['ʌndəhændid] a.不光明的，卑鄙的
underling ['ʌndəliŋ] n.下属，手下
underlying ['ʌndə'laiiŋ] a.在下面的，根本的
undermine [,ʌndə'main] v.(从根基处)破坏，损坏
underplay ['ʌndə'plei] v.淡化„的重要性；表演(角色)不充分
underrate [ʌndə'reit] v.低估，轻视，对„评价过低
underscore [,ʌndə'skɔ:] v.在„之下划线；强调
understate ['ʌndə'steit] v.掩饰地说，轻描淡写地说
understated ['ʌndə'steitid] a.不完全陈述的，轻描淡写的
understatement [,ʌndə'steitmənt] n.轻描淡写的陈述，不充分的陈述
understudy ['ʌndə,stʌdi] n.预备演员，替角；v.充当„的替角
underutilized [,ʌndə'ju:tilaizd] a.未充分利用的
underwrite ['ʌndərait] v.同意负担„的费用；为„保险
undeserved [ʌndi'zə:vd] a.不应得的，不公平的
undesirable ['ʌndi'zaiərəbl] a.令人不悦的，讨厌的；不想要的
undirected ['ʌndi'rektid] a.未受指导的
unearth ['ʌn'ə:θ] v.挖出；发现
unearthly [ʌn'ə:θli] a.奇异的，超自然的
unenlightened ['ʌnin'laitnd] a.愚昧无知的；不文明的
unexceptionable ['ʌnik'sepʃənəbl] a.无可非议的
unfailing [ʌn'feiliŋ] a.无尽的，无穷的
unfasten ['ʌn'fɑ:sn] v.解开
unfeigned [ʌn'feind] a.真实的；不作假的
unflappable ['ʌn'flæpəbl] a.不惊慌的，镇定的
unfold [ʌn'fəuld] v.展开，打开；逐渐呈现
unfounded ['ʌn'faundid] a.无事实根据的
ungainly [ʌn'ɡeinli] a.笨拙的
ungrudging ['ʌn'ɡrʌdʒiŋ] a.慷慨的
unguent ['ʌŋɡwənt] n.药膏，软膏
unicorn ['ju:nikɔ:n] n.(传说中的)独角兽
unidimensional ['ju:nidi'menʃənl] a.一方面的；一维的
unification [,ju:nifi'keiʃən] n.统一，一致
uniform ['ju:nifɔ:m] n.制服；a.相同的，一致的
unify ['ju:nifai] v.统一，使成一体；使相同
unimpassioned ['ʌnim'pæʃənd] a.没有激情的
unimpeachable [,ʌnim'pi:tʃəbl] a.无可指摘的，无可置疑的
uninitiated [ʌni'niʃieitid] a.外行的，缺乏经验的
unique [ju:'ni:k] a.独一无二的，独特的
univocal [,ju:ni'vəukəl] a.单一意思的，意思明确的
unjustified [ʌn'dʒʌstifaid] a.未被证明为正当的，无法解释的
unjustly [ʌn'dʒʌstli] adv.不正当地，不公平地
unkempt ['ʌn'kempt] a.(衣服、头发)不整洁的
unleash ['ʌn'li:ʃ] v.发泄，释放
unmitigated [ʌn'mitiɡeitid] a.未缓和的，未减轻的，全然的
unmoved ['ʌn'mu:vd] a.无动于衷的，冷漠的；镇定的
unnoticed ['ʌn'nəutist] a.不引人注意的
unobtrusive ['ʌnəb'tru:siv] a.不引人注目的
unpalatable [ʌn'pælətəbl] a.令人讨厌的，令人无法认同的
unprecedented [ʌn'presidəntid] a.前所未有的
unpremeditated ['ʌnpri'mediteitid] a.非预谋的
unprepossessing [ʌnpri:pə'zesiŋ] a.不吸引人的
unpretentious [ʌnpri'tenʃəs] a.不炫耀的，不招摇的
unprincipled [ʌn'prinsəpld] a.肆无忌惮的，不道德的
unproductive ['ʌnprə'dʌktiv] a.徒然的，无成效的
unprovoked ['ʌnprə'vəukt] a.(生气等)无缘无故的
unqualified ['ʌn'kwɔlifaid] a.无资格的；无限制的，绝对的
unravel [ʌn'rævəl] v.解开，拆散
unregenerate [ʌnri'dʒenərət] a.不知悔改的
unregulated [ʌn'reɡjuleitid] a.未受管理的，未受约束的
unremitting ['ʌnri'mitiŋ] a.不间断的，持续的
unrepentant ['ʌnri'pentənt] a.不悔悟的，不后悔的
unrequited ['ʌnri'kwaitid] a.无报答的，无回报的
unreserved ['ʌnri'zə:vd] a.无限制的；未被预定的
unscathed ['ʌn'skeiðd] a.未受损伤的，未遭伤害的
unscented [,ʌn'sentid] a.无气味的
unscrupulous [ʌn'skru:pjuləs] a.肆无忌惮的，无道德原则的
unscrupulousness[ʌn'skru:pjuləsnis] n.狂妄，肆无忌惮
unseemly ['ʌn'si:mli] a.不适当的，不宜的
unsettle ['ʌn'setl] v.使不安宁，搅乱
unsettling ['ʌn'setliŋ] a.令人不安的，扰乱的，使窘困的
unsound ['ʌn'saund] a.不结实的，不坚固的；无根据的
unspoiled [ʌn'spɔild] a.未损坏的，未宠坏的
unspotted ['ʌn'spɔtid] a.清白的，无污点的
unstinting ['ʌn'stintiŋ] a.极为慷慨的，大方的
unsubstantiated ['ʌnsəb'stænʃieitid] a.未经证实的，无事实根据的
untapped [ʌn'tæpt] a.未开发的，未利用的
unthreatening ['ʌn'θretəniŋ] a.不威胁的
untimely [ʌn'taimli] a.过早的；不适时的
untold ['ʌn'təuld] a.无数的，数不清的
untoward [ʌn'təuəd] a.不幸的，(坏事)没料到的
untutored ['ʌn'tju:təd] a.未经教育的
unwarranted ['ʌn'wɔrəntid] a.没有根据的，不应当的
unwieldy [ʌn'wi:ldi] a.笨重的，笨拙的
unwitting [,ʌn'witiŋ] a.无心的，不经意的
unwonted [ʌn'wəuntid] a.不寻常的；不习惯的
unworldly ['ʌn'wə:ldli] a.非世俗的；精神上的
upbraid [ʌp'breid] v.斥责，责骂
upgrade ['ʌpɡreid] v.提升，给„升级
upheaval [ʌp'hi:vəl] n.动乱，大变动
uphold [ʌp'həuld] v.维护，支持
upright ['ʌp'rait] a.垂直的；正直的
uproar ['ʌprɔ:] n.喧闹，骚动
uproarious [ʌp'rɔ:riəs] a.骚动的，喧嚣的；令人捧腹(大笑)的，非常有趣的
upstage ['ʌpsteidʒ] a.骄傲的，高傲的
upswing ['ʌpswiŋ] n.上升，增长
urgent ['ə:dʒənt] a.迫切的，紧急的
usurp [ju:'zə:p] v.篡夺，霸占(权位)
usury ['ju:ʒuri] n.放高利贷
utilitarian [,ju:tili'teəriən] a.功利的，实用的
utilize [ju:'tilaiz] v.利用，使用
utopia [ju:'təupjə] n.理想国，理想的完美境界
utopian [ju:'təupjən] a.乌托邦式的，空想的，不切实际的
utter ['ʌtə] a.完全的；v.发出声音
vaccinate ['væksineit] v.给„接种疫苗
vaccine ['væksi:n] n.牛痘苗，疫苗
vacillate ['væsileit] v.举棋不定，踌躇
vacuous ['vækjuəs] a.发呆的，愚笨的
vagary ['veiɡəri] n.奇想，异想天开
vagrancy ['veiɡrənsi] n.游荡，流浪
vagrant ['veiɡrənt] a.漂泊的，流浪的；n.流浪汉，居无定所或无固定工作的人
vague [veiɡ] a.模糊的
vain [vein] a.自负的；徒劳的，无效的
valediction ['vælidikʃən] n.告别演说
valedictory [,væli'diktəri] a.告别的，离别的
valiant ['væljənt] a.勇敢的，英勇的
validate ['vælideit] v.使„生效
valorous ['vælərəs] a.勇敢的
valve [vælv] n.活门，阀门
vandalism ['vændəliz(ə)m] n.(对公物等)恶意破坏
vandalize ['vændlaiz] v.肆意破坏(公物)
vanilla [və'nilə] n.香草，香子兰(热带兰科植物)
vanity ['væniti] n.虚荣，自负
vanquish ['væŋkwiʃ] v.征服
vantage ['va:ntidʒ] n.优势，有利地位
vapid ['væpid] a.索然无味的，枯燥的
vaporization [,veipərai'zeiʃən] n.蒸发
vaporize ['veipəraiz] v.(使)蒸发
vaporous ['veipərəs] a.无实质的
variance ['veəriəns] n.矛盾，意见不一；不同
variegate ['veəriɡeit] v.使„多样化；使„呈杂色
variegation [,veəriə'ɡeiʃən] n.杂色，班驳
varnish ['vɑ:niʃ] n.清漆；v.涂上清漆
vascular ['væskjulə] a.血管的，脉管的
vault [vɔ:lt] n.拱顶；地窖
vaunting ['vɔ:ntiŋ] a.吹嘘的
veer [viə] v.转向，改变(话题等)
vehicle ['vi:ikl] n.交通工具；传播媒介
veil [veil] n.面纱；遮蔽物，掩蔽物；v.以面纱掩盖
velocity [vi'lɔsiti] n.速度；迅速
venal ['vi:nl] a.受贿而为的，贪赃枉法的
vendetta [ven'detə] n.世仇，宿怨
vendor ['vendɔ:] n.小贩
veneer [və'niə] n.(镶于劣质东西上的)镶饰；虚饰的外表
venerate ['venəreit] v.崇敬，敬仰
vengeance ['vendʒəns] n.报仇，报复
vengeful ['vendʒful] a.报复的，复仇心理的
venial ['vi:niəl] a.(错误等)轻微的，可原谅的
venom ['venəm] n.毒液；恶毒，痛恨
vent [vent] v.发泄(情绪)；开孔；n.孔，口
ventilate ['ventileit] v.使„通风，透风
ventriloquist [ven'triləkwist] n.口技表演者，会口技的人
veracious [və'reiʃəs] a.诚实的，说真话的
veracity [və'ræsiti] n.真实性，诚实
verbal ['və:bəl] a.口头的；与言辞有关的
verbiage ['və:biidʒ] n.啰嗦，赘语，冗词
verbose [və:'bəus] a.冗长的，啰嗦的
verdant ['və:dənt] a.青葱的，翠绿的
verdict ['və:dikt] n.(陪审团的)裁决，决定
verdigris ['və:diɡris] n.铜锈，铜绿
verified ['verifaid] a.核实的
verify ['verifai] v.证明，证实
verisimilar [,veri'similə] a.好像真实的；可能的
veritable ['veritəbl] a.确实的，名副其实的
vernacular [və'nækjulə] n.本国语，地方语
versatile ['və:sətail] a.多才多艺的；多用途的
verse [və:s] n.诗歌
vertex ['və:teks] n.(三角形等)顶角；顶点，最高点
vertical ['və:tikəl] a.垂直的
vertigo ['və:tiɡəu] n.眩晕
verve [və:v] n.(艺术作品的)神韵，气韵；(人)生机(尤指在文艺工作中)
vessel ['vesl] n.血管；容器；船只
vestige ['vestidʒ] n.(细微)痕迹，遗迹
vestigial [ves'tidʒiəl] a.退化的
vestment ['vestmənt] n.(作礼拜时教士的)法衣，官服
veteran ['vetərən] n.老兵，老手；a.经验丰富的
veterinary ['vetərinəri] a.兽医的
veto ['vi:təu] n.否决(权)，禁止(权)
vex [veks] v./n.(使)恼火
vexation [vek'seiʃən] n.困扰，苦恼
viability [,vaiə'biliti] n.可行性；生存能力，存活力
viable ['vaiəbl] a.可行的；能活下去的
viaduct ['vaiədʌkt] n.高架桥
vibrancy ['vaibrənsi] n.生机勃勃，活泼
vibrant ['vaibrənt] a.振动的；(颜色)鲜明的，明快的；生机勃勃的
vibrate ['vaibreit, vai'breit] v.(使)颤动，振动
vicar ['vikə] n.教区牧师
vicarious [vai'keəriəs] a.替代别人(感受，做)的，代理的
vicinity [vi'siniti] n.接近
vicious ['viʃəs] a.残酷的，危险的
vicissitudinous [vi,sisi'tju:dinəs] a.有变化的，变迁的
victimize ['viktimaiz] v.使受害，迫害
vie [vai] v.竞争
vigilant ['vidʒilənt] a.机警的，警惕的
vigorous ['viɡərəs] a.精力旺盛的，健壮的
vile [vail] a.恶劣的，卑鄙的
vilify ['vilifai] v.辱骂，诽谤
vindicate ['vindikeit] v.为„平反；证明„正确
vindictive [vin'diktiv] a.报复性的
vintner ['vintnə] n.酒商
violate ['vaiəleit] v.违反，触犯
violet ['vaiəlit] a.紫罗兰色的；n.紫罗兰
viral ['vairəl] a.病毒性的，由病毒引起的
virtual ['və:tjuəl] a.实质上的，实际上的(但未获名义上或正式的承认)
virtuosity [,və:tju'ɔsiti] n.精湛技巧，高超
virtuoso [və:tju'əuzəu] n.演艺精湛的人
virtuous ['və:tjuəs] a.有美德的；(贬)自命清高的
virulent ['virulənt] a.剧毒的；恶毒的
virus ['vaiərəs] n.病毒
viscid ['visid] a.粘性的
viscous ['viskəs] a.黏性的，半流质的
visionary ['viʒənəri] a.有远见的；幻想的，空想的；n.空想家
vista ['vistə] n.远景；展望
vital ['vaitl] a.极其重要的；充满活力的
vitalize ['vaitəlaiz] v.激发活力，使有生气
vitiate ['viʃieit] v.削弱，损害
vitrify ['vitrifai] v.使成玻璃
vitriolic [,vitri'ɔlik] a.刻薄的，恶意的
vituperate [vi'tju:pəreit] v.痛斥，辱骂
vituperative [vi'tjupərətiv] a.辱骂的
vivacious [vi'veiʃəs] a.活泼的，快活的
vivid ['vivid] a.(颜色)清晰的，鲜艳的；生动的，活泼的，逼真的
vocalist ['vəukəlist] n.流行歌手，声乐家
vocation [vəu'keiʃən] n.擅长；工作，职业
vogue [vəuɡ] n.时髦，时尚；a.流行的
void [vɔid] a.空的，缺乏的；n.空隙，空处；空虚感
volatile ['vɔlətail] a.反复无常的；挥发性的
volition [vəu'liʃən] n.决断力；意志
volley ['vɔli] n.齐发，群射；v.齐发，群射；(足球、网球)截击
voluble ['vɔljub(ə)l] a.健谈的，说话快而流利的；旋转的
voluminous [və'lju:minəs] a.长篇的；大量的
voluptuous [və'lʌptuəs] a.撩人的，性感的；沉溺于酒色的，奢侈淫逸的
voracious [və'reiʃəs] a.狼吞虎咽的，极饿的；贪婪的，贪吃的
voracity [və'ræsiti ] n.贪婪
votary ['vəutəri] n.崇拜者，热心支持者
vouch [vautʃ] v.担保，证明
vulgar ['vʌlɡə] a.无教养的，粗俗的
vulnerable ['vʌlnərəb(ə)l] a.易受攻击的
vulture ['vʌltʃə(r)] n.秃鹫
vying ['vaiiŋ] a.竞争的
waddle ['wɔdl] v.(鸭子等)摇摇摆摆地走
waffle ['wɔfl] n.蛋奶烘饼；v.胡扯或乱写
waft [wɑ:f] v.飘浮，飘荡
wag [wæɡ] v.(狗尾巴等)摆动；n.诙谐幽默者
wage [weidʒ] v.开始，进行(战争，运动)
waggish ['wæɡiʃ] a.诙谐的，滑稽的
walrus ['wɔ:lrəs] n.海象
wan [wɔn] a.虚弱的；病容的，(面色)苍白憔悴的
wanderlust ['wɔndəlʌst] n.漫游癖，旅游热
wane [wein] v.减少，变小，衰微
want [wɔnt] n.缺乏，贫困，需要
wardrobe ['wɔ:drəub] n.衣橱；全部服装
warehouse ['weəhaus] n.仓库，货栈
warmonger ['wɔ:mʌŋɡə] n.好战者，战争贩子
warp [wɔ:p] v./n.翘起，弯曲(尤指因收缩或伸展不平所致)
warrant ['wɔrənt] n.正当理由；许可证
warranted ['wɔrəntid] a.保证的；凭正当理由的
warranty ['wɔrənti] n.保证(期)；辩解；有正当理由；批准
wary ['weəri] a.谨慎的，小心翼翼的
waste [weist] v.使身体消瘦，损耗
wastrel ['weistrəl] n.挥霍无度的人
watershed ['wɔ:təʃed] n.分水岭，转折点
waver ['weivə] v.动摇，犹豫
wax [wæks] n.蜡；v.给„打蜡；盈，逐渐增大
wean [wi:n] v.(孩子)断奶；戒掉(恶习)
wearisome ['wiərisʌm] a.使人感到疲倦或厌倦的
weary ['wiəri] a.疲劳的，令人厌倦的；v.厌烦
weasel ['wi:zl] n.黄鼠狼，鼬；v.逃避(责任，承诺等)
weather ['weðə] v.经受住，平安度过危难
weed [wi:d] n.杂草，野草；v.除草
weld [weld] v.焊接，熔接；结合
well-groomed ['wel'ɡru:md] a.非常整洁的
welter ['weltə] n.混乱，混杂
wheedle ['(h)wi:dl] v.(用花言巧语)哄骗
whet [(h)wet] v.磨快；刺激
whiff [(h)wif] v./n.些微的气味、空气
whim [(h)wim] n.突然的念头，一时兴起，怪念头
whimsical ['(h)wimzikəl] a.古怪的，异想天开的；反复无常的
whimsy ['hwimzi] n.怪念头，异想天开
whine [(h)wain] v.哀号，号哭
whirlpool ['(h)wə:lpu:l] n.漩涡
whisper ['(h)wispə] v.耳语，低声说话
whistle ['(h)wisl] n.口哨，口哨声；汽笛声；v.吹口哨
whittle ['(h)witl] v.削(木头)；削减
wholesome ['həulsəm] a.促进健康的
wick [wik] n.蜡烛芯；灯芯
wicked ['wikid] a.极坏的；淘气的
wield [wi:ld] v.支配，掌权
willful ['wilful] a.任性的，固执的；故意的
willow ['wiləu] n.柳树
willowy ['wiləui] a.苗条的
wilt [wilt] v.使„凋谢，枯萎(因缺水)
wily ['waili] a.狡猾的
wince [wins] v.避开，畏缩
windbag ['windbæɡ] n.多话之人
winding ['waindiŋ] a.蜿蜒的，迂回的
windy ['windi] a.有风的；长篇累牍的
wink [wiŋk] v.使眼色；n.眨眼
winnow ['winəu] v.把(谷物)的杂质吹掉
winsome ['winsəm] a.媚人的，漂亮的
wistful ['wistful] a.惆怅的，渴望的(尤指对过去的或不可得之物)
wit [wit] n.智力，机智
withdraw [wið'drɔ:] v.撤退，收回；隐居
wither ['wiðə] v.枯萎，凋零
withhold [wið'həuld] v.扣留，保留
withstand [wið'stænd] v.顶住，经受住
witness ['witnis] n.目击者；v.目击
witticism ['witisizəm] n.妙语，俏皮话
wizened ['wiznd] a.干皱的
wobble ['wɔbl] v.摇动，颤动；犹豫
woe [wəu] n.悲痛，苦难
woo [wu:] v.向(女人)求爱；争取„的支持
worship ['wə:ʃip] v./n.崇拜，敬仰
wrangler ['rænɡlə] n.口角者，争论者；牧马者
wrench [rentʃ] v.扭，拧；n.板钳，扳手
wretched ['retʃid] a.可怜的，不幸的
wrinkle ['riŋkl] n.皱纹；妙计，好主意
wrist [rist] n.腕，腕关节
writ [rit] n.命令状，书面命令
wrought [rɔ:t] a.做成的，精炼的
wry [rai] a.扭曲的；讽刺性幽默的
xenophobe ['zenəfəub] n.惧外者，排外者
xerophyte ['ziərəfait] n.(植)旱生植物
yacht [jɔt] n.帆船，游艇
yarn [jɑ:n] n.纱线
yawn [jɔ:n] v.打呵欠
yearn [jə:n] v.盼望，渴望
yeast [ji:st] n.酵母；兴奋
yielding ['ji:ldiŋ] a.弯曲自如的；柔顺的，依从的
yoke [jəuk] n.牛轭；v.使结合，束缚
yokel ['jəukəl] n.乡巴佬
zealotry ['zelətri] n.狂热行为
zenith ['zeniθ] n.(天文)天顶；极点，顶峰
zephyr ['zefə] n.和风；西风
zest [zest] n.极大的快乐，兴趣
zigzag ['ziɡzæɡ] n./a.之字形(的)；v.弯弯曲曲地行进
zone [zəun] v.分成区
abase [ə'beis] v. 降低自己，贬抑，使卑下
abduct [æb'dʌkt] v. 绑架，拐走
abnegation [,æbni'ɡeiʃən] n. 放弃; 自我牺牲
aboriginal [,æbə'ridʒənəl] n. 原始居民，土著
abortive [ə'bɔ:tiv] a. 无结果的，失败的
abound [ə'baund] v. 充满; 富于
abrupt [ə'brʌpt] a突然的，意外的；唐突的
abstinent ['æbstinənt] a. 饮食有度的，有节制的，禁欲的
acarpous [ei'kɑ:pəs] a. 不结果实的
acerbity [ə'sə:biti] n. 涩，酸，刻薄
achromatic [,ækrəu'mætik] a. 非彩色的，无色的
acronym ['ækrənim] n. 首字母缩略词
actuarial [,æktju'eəriəl] a. (保险)精算的，保险计算的
actuate ['æktjueit] v. 驱使，激励
addle ['ædl] v. 使腐坏; 使昏乱
adduce [ə'dju:s] v. 给予(理由); 举出(例证)
adjudicate [ə'dʒu:dikeit] v. 充当裁判; 判决
adlib [æd'lib] v. 临时讲话，即兴表演
advert [əd'və:t] v. 注意，留意
aeronautics [,eərə'nɔ:tiks] n. 航空学
aftermath ['ɑ:ftəmæθ] n. 事件的后果，余波
agape [ə'ɡeip] a./adv. (嘴)大张着的/地
aghast [ə'ɡɑ:st] a. 惊骇的，吓呆的
ailment ['eilmənt] n. (不严重的)疾病
albino [æl'bi:nəu] n. 白化病者，白化变种
alliterate [ə'litəreit] v. 押头韵
almond ['ɑ:mənd] n. 杏树，杏仁
alms [ɑ:mz] n. 施舍物，救济品
ambience ['æmbiəns] n. 环境，气氛
ambrosial [æm'brəuzjəl] a. 芬香的，特别美味的
ambulatory ['æmbjulətəri] a. (适宜于)步行的
amethyst ['æməθist] n. 紫水晶
amiss [ə'mis] adv. 有毛病地，出差错地
amoral [ei'mɔrəl] a. 与道德无关的
amputate ['æmpju,teit] v. 截肢
anemic [ə'ni:mik] a. 贫血的，患贫血症的
anodyne ['ænəudain] n. 止痛药
antedate ['ænti,deit] v. (在信、文件上)写上较早日期；早于
anthropoid ['ænθrəpɔid] a. 像人类的；n. 类人猿
aperture ['æpətjuə] n. 孔隙，窄的缺口
apothegm ['æpəuθem] n. 格言，警句
apotheosis [ə,pɔθi'əusis] n. 神化; 典范
appendage [ə'pendidʒ] n. 附加物
aquiline ['ækwilain] a. 鹰的，似鹰的
arachnid [ə'ræknid] n. 蜘蛛类节肢动物
archer ['ɑ:tʃə] n. 弓箭手，射手
arraign [ə'rein] v. 传讯; 指责
artillery [ɑ:'tiləri] n. 大炮; 炮兵
asinine ['æsinain] a. 愚笨的
askance [ə'skæns] adv. 侧目而视，瞟
askew [əs'kju:] a. 歪斜的；v. 歪斜，弯曲
asphyxia [æs'fiksiə] n. 窒息
astigmatic [,æstiɡ'mætik] a. 散光的，乱视的
atheism ['eiθiizəm] n. 无神论，不信神
atone [ə'təun] v. 赎罪，补偿
attire [ə'taiə] v. 穿着；装饰；n. 好衣服
attrition [ə'triʃən] n. 摩擦，磨损
auger ['ɔɡə] n. 螺丝钻，钻孔机
augmentation [,ɔ:ɡmen'teiʃən] n. 增加
aureole ['ɔ:riəl] n. 日冕，光轮
auricular [ɔ:'rikjulə] a. 耳的
auspice ['ɔ:spis] n. 预兆，吉兆；赞助，支持
automation [ɔ:tə'meiʃən] n. 自动装置
avocation [ævə'keiʃ(ə)n] n. 副业；嗜好
avowal [ə'vauəl] n. 声明
avuncular [ə'vʌŋkjulə] a. 伯(叔)父的
azure ['æʒə] n. 天蓝色；a. 蔚蓝的
bacchanal ['bækənl] n. (行为放纵的)狂欢会
backslide ['bækslaid] v. 故态复萌
backwater ['bækwɔ:tə(r)] n. 死水；闭塞地区
baffle ['bæfl] v. 使困惑，难倒
balky ['bɔ:ki] a. 停止不前的；倔强的
bamboozle [bæm'bu:zl] v. 欺骗，隐瞒
bandy ['bændi] v. 来回抛球；轻率谈论
baron ['bærən] n. 贵族; 巨头
barrister ['bæristə] n. 讼务；律师
bassoon [bə'su:n] n. 低音管，巴松管
bather ['beiðə(r)] n. 入浴者，浴疗者
bauble ['bɔ:bl] n. 花哨的小玩意儿；没价值的东西
bawl [bɔ:l] v. 大叫，大喊
beatific [,bi:ə'tifik] a. 祝福的，快乐的
beckon ['bekən] v. 召唤某人，示意
bedizen [bi'daizn] v. 把„装饰得艳丽而俗气
bedraggled [bi'dræɡ(ə)ld] a. 弄湿的；凌乱不堪的
beet [bi:t] n. 甜菜
befuddle [bi'fʌdl] v. 使迷惑，使为难；使酒醉昏迷
beget [bi'ɡet] v. 产生，引起
beguile [bi'ɡail] v. 欺骗，诱骗
behold [bi'həuld] v. 目睹，看见
beholden [bi'həuldən] a. 感激某人的；欠人情的
belch [beltʃ] n./v. 打嗝；(火山)喷出
belongings [bi'lɔŋiŋz] n. 所有物，财产
bemused [bi'mju:zd] a. 茫然的，困惑的
bereave [bi'ri:v] v. 丧亲，夺去
berserk [bə(:)'sə:k] a. 狂怒的，疯狂的
betoken [bi'təukən] v. 预示，表示
bibulous ['bibjuləs] a. 高度吸收的; 嗜酒的
biennial [bai'eniəl] a. 两年一次的
bilious ['biljəs] a. 胆汁质的；坏脾气的
billow ['biləu] n. 巨浪;v. 翻腾
blackball ['blækbɔ:l]
v. 投反对票以阻止
blackmail ['blækmeil] v./n. 敲诈，勒索
blare [bleə] v. 高声鸣叫
blasé ['blɑ:zei] a. 厌倦享乐的，冷漠的
bleachers ['bli:tʃəz] n. (球场的)露天座位
bloated ['bləutid] a. 肿胀的; 傲慢的
blossom ['blɔsɔm] n. 花；v. (树木)开花
bludgeon ['blʌdʒən] n. 大头棒；v. 用棒打击
bluff [blʌf] n. 虚张声势; 悬崖峭壁
bode [bəud] v. 预示
boding ['bəudiŋ] n. 凶兆，前兆，预感；a. 凶兆的
bohemian [bəu'hi:mjən] a./n.. 放荡不羁的(人)
bombardment [bɔm'bɑ:dmənt] n. 炮炸，炮轰
bonhomie [bɔnɔ'mi:] n. 好性情，温和，和蔼
boo [bu:] v. 作嘘声，蔑视或反对
botch [bɔtʃ] v. (笨手笨脚地)弄坏某事
bottleneck ['bɔtl,nek] n. 瓶颈口，(喻)交通易阻塞的狭口
bough [bau] n. 粗大的树枝或树干
bounteous ['bauntiəs] a. 慷慨的; 丰富的
bovine ['bəuvain] a. (似)牛的; 迟钝的
bowdlerize ['baudləraiz] v. 删除，删改
bower ['bauə(r)] n. 凉亭，树荫下凉快之处
brackish ['brækiʃ] a. (指水)略咸的；不好吃的
brattish ['brætiʃ] a. (指小孩)讨厌的，宠坏的，不礼貌的
brawny ['brɔ:ni] a. (人)强壮的
bray [brei] v. 大声而刺耳地发出（叫唤或声音）
breezeway ['bri:zwei] n. 有屋顶的通路
brim [brim] n. (杯)边，缘；盈满
brindled ['brind(ə)ld] a. 有棕色斑纹的
brocade [brə'keid] n. 织锦
broil [brɔil] v. 烧烤
brooch [bru:tʃ] n. 胸针
browse [brauz] v. 吃嫩叶或草；浏览；n. 嫩叶；嫩芽
bubble ['bʌbl] v. 起泡；n. 气泡，水泡
buckle ['bʌkl] n. 皮带扣环；v. 扣紧
buffer ['bʌfə] v. 缓冲，为„冲当缓冲器
bugaboo ['bʌɡəbu:] n. 吓人的东西；妖怪
buggy ['bʌɡi] n. 轻型马车；婴儿车
bullion ['buliən] n. 金条，银条
bumble ['bʌmbl] v. 说话含糊；拙劣地做
bump [bʌmp] v. 碰撞；n. 碰撞声
burrow ['bʌrəu] v. 挖掘，钻进，翻寻n. 地洞
buxom ['bʌksəm] a. 体态丰满的
cachet ['kæʃei] n. 赞同的标志，优越的标志
cactus ['kæktəs] n. 仙人掌
cadaver [kə'deivə] n. 尸体
cadence ['keidəns] n. 抑扬顿挫；节奏，韵律
calibre ['kæləbə] n. (枪等)口径；(人或事)品德，才能
callus ['kæləs] n. 老茧，胼胝
canard [kæ'nɑ:d] n. 谣言，假新闻
canker ['kæŋkə] n. 溃疡病；祸害
cantata [kæn'tɑ:tə] n. 清唱剧，大合唱
capacious [kə'peiʃəs] a. 容量大的，宽敞的
caper ['keipə] v./n. 雀跃，欢蹦
capitalize [kə'pitəlaiz] v. 资本化，获利，利用
capitation [,kæpi'teiʃən] n. 人头税
capsize [kæp'saiz] v. 使船翻；倾覆
carat ['kærət] n. 克拉；(金子)开
careen [kə'ri:n] v. (船)倾斜；使倾斜
carillon [kə'riljən] n. 编钟，钟琴
carnage ['kɑ:nidʒ] n. 大屠杀，残杀
carpentry ['kɑ:pintri] n. 木工工作
cascade [kæs'keid] n. 小瀑布
catapult ['kætəpʌlt] n. 弹弓；弹射器
cautionary ['kɔ:ʃənəri] a. 劝人谨慎的，警戒的
cavalcade [,kævəl'keid] n. 骑兵队伍
celerity [si'leriti] n. 快速，迅速
celibate ['selibit] n. 独身者；a. 不结婚的
cemetery ['semitri] n. 坟墓，公墓
centrifugal [sen'trifjuɡəl] a. 离心的
centripetal [sen'tripitl] a. 向心的
cephalic [se'fælik] a. 头的，头部的
chasten ['tʃeisn] v. 改正；磨炼
checkered ['tʃekəd] a. 盛衰无常的
chic [ʃi(:)k] a. 漂亮的，时髦的
chirp [tʃə:p] v. (鸟或虫)唧唧叫
chore [tʃɔ:] n. 家务琐事；讨厌的工作
chortle ['tʃɔ:tl] v./n. 开心地笑
chunk [tʃʌŋk] n. 短厚块状物；大量
ciliate ['siliit] a. 有纤毛的；有睫毛的
cineaste ['sini:æst] n. 影迷，热衷于电影的人
circumlocutory [,sɜ:kəmləu'kju:ʃən] a. 委婉曲折的，迂回的
citation [sai'teiʃən] n. 引证，引用文，传票
clairvoyant [kleə'vɔiənt] a. 透视的，有洞察力的
clench [klentʃ] v. 握紧；咬紧(牙关等)
cliché [kli:'ʃei] a. 陈腐的
closed-minded ['kləuzd'maindid] a. 倔强的，顽固的
closure ['kləuʒə] n. 关闭；终止
